Hop,Traceroute_1,Traceroute_2,Traceroute_3,Traceroute_4,Traceroute_5,Traceroute_6,Traceroute_7,Traceroute_8,Traceroute_9,Traceroute_10,Traceroute_11,Traceroute_12,Traceroute_13,Traceroute_14,Traceroute_15,Traceroute_16,Traceroute_17,Traceroute_18,Traceroute_19,Traceroute_20,Traceroute_21
1,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161,66.171.248.161
2,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233,66.171.255.233
3,10.168.102.207,10.168.102.23,10.168.102.50,10.168.103.76,4.16.200.25,66.186.30.201,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225,66.171.255.225
4,,,,,4.69.209.189,96.87.9.93,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101,66.186.30.101
5,,,,,4.53.210.210,68.86.82.33,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252,66.110.59.252
6,,,,,202.97.50.73,68.86.84.194,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2,66.110.59.2
7,,,,,202.97.84.213,219.158.33.209,64.86.252.57,64.86.252.217,64.86.252.217,64.86.252.57,64.86.252.57,120.29.211.2,64.86.252.57,64.86.252.57,64.86.252.217,64.86.252.57,64.86.252.57,64.86.252.217,64.86.252.217,64.86.252.217,64.86.252.57
8,,,,,202.97.54.26,219.158.96.33,120.29.211.2,120.29.211.2,120.29.211.2,120.29.211.2,120.29.211.2,116.0.67.61,120.29.211.2,120.29.211.2,120.29.211.2,120.29.211.2,120.29.211.2,120.29.211.2,120.29.211.2,120.29.211.2,120.29.211.2
9,,,,,222.85.75.206,219.158.103.33,116.0.67.61,116.0.67.61,116.0.67.61,116.0.67.61,116.0.67.61,180.87.112.110,116.0.67.61,116.0.67.61,116.0.67.61,116.0.67.61,116.0.67.61,116.0.67.61,116.0.67.61,116.0.67.61,116.0.67.61
10,,,,,222.85.123.90,219.158.103.217,180.87.112.110,180.87.112.110,180.87.112.110,180.87.112.110,180.87.112.110,101.4.117.249,180.87.112.110,180.87.112.110,180.87.112.110,180.87.112.110,180.87.112.110,180.87.112.110,180.87.112.110,180.87.112.110,180.87.112.110
11,,,,,219.147.63.218,219.158.114.206,101.4.117.249,101.4.117.249,101.4.117.249,101.4.117.249,101.4.117.249,101.4.118.25,101.4.117.249,101.4.117.249,101.4.117.249,101.4.117.249,101.4.117.249,101.4.117.249,101.4.117.249,101.4.117.249,101.4.117.249
12,,,,,116.255.235.199,124.160.128.38,101.4.118.121,101.4.118.25,101.4.118.121,101.4.118.25,101.4.118.25,101.4.114.173,101.4.118.25,101.4.118.121,101.4.118.121,101.4.118.25,101.4.118.121,101.4.118.121,101.4.118.121,101.4.118.121,101.4.118.121
13,,,,,,124.160.83.30,101.4.117.253,101.4.114.173,101.4.115.198,101.4.114.173,101.4.114.173,101.4.115.173,101.4.114.173,101.4.117.253,101.4.117.253,101.4.114.173,101.4.115.198,101.4.117.253,101.4.117.253,101.4.117.253,101.4.117.253
14,,,,,,123.58.178.130,101.4.114.173,101.4.115.173,101.4.114.173,101.4.115.173,101.4.115.173,210.35.88.199,101.4.115.173,101.4.114.173,101.4.114.173,101.4.115.173,101.4.114.173,101.4.114.173,101.4.114.173,101.4.114.173,101.4.114.173
15,,,,,,,101.4.115.173,210.35.88.158,101.4.115.173,210.35.88.194,210.35.88.195,,210.35.88.200,101.4.115.173,101.4.115.173,210.35.88.35,101.4.115.173,101.4.115.173,101.4.115.173,101.4.115.173,101.4.115.173
16,,,,,,,210.35.88.141,,210.35.88.173,,,,,210.35.88.208,210.35.88.23,,210.35.88.51,210.35.88.70,210.35.95.100,210.35.95.112,210.35.95.65
